Using EulerDiscreteScheduler
Total GPUs in the world: 8
torch.distributed.is_available(): True
torch.distributed.is_nccl_available(): True
Args: Namespace(world_size=4, gpu_id=3, rank=3, dst_rank=1, controlnet_parallel_rank=[3], verbose=False)
World size: 4, rank: 3
Enable cuda graph: True
Start ControlNet server on GPU 3
Avg: 0.0344, Sum: 1.7211
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6816
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6816
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6817
Avg: 0.0136, Sum: 0.6824
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6821
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6820
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6816
Avg: 0.0136, Sum: 0.6821
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6814
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6822
Avg: 0.0136, Sum: 0.6820
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6821
Avg: 0.0137, Sum: 0.6830
Avg: 0.0136, Sum: 0.6805
Avg: 0.0136, Sum: 0.6818
Avg: 0.0136, Sum: 0.6816
Avg: 0.0136, Sum: 0.6818
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6806
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6811
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6809
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6808
Avg: 0.0136, Sum: 0.6807
Avg: 0.0136, Sum: 0.6809
