Using EulerDiscreteScheduler
In unet_2d_condition.py
Total GPUs in the world: 8
torch.distributed.is_available(): True
torch.distributed.is_nccl_available(): True
Args: Namespace(world_size=8, gpu_id=6, rank=6, dst_rank=0, controlnet_parallel_rank=[2, 4, 6], verbose=False)
World size: 8, rank: 6
Enable cuda graph: True
Start controlnet server on GPU 6
Avg: 0.5482, Sum: 27.4111
Avg: 0.0136, Sum: 0.6812
Avg: 0.0136, Sum: 0.6810
Avg: 0.0136, Sum: 0.6813
Avg: 0.0136, Sum: 0.6816
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6816
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6817
Avg: 0.0136, Sum: 0.6818
Avg: 0.0136, Sum: 0.6817
Avg: 0.0136, Sum: 0.6818
Avg: 0.0136, Sum: 0.6819
Avg: 0.0136, Sum: 0.6822
Avg: 0.0136, Sum: 0.6824
Avg: 0.0136, Sum: 0.6825
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6823
Avg: 0.0137, Sum: 0.6826
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6825
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6823
Avg: 0.0136, Sum: 0.6824
Avg: 0.0136, Sum: 0.6824
Avg: 0.0136, Sum: 0.6823
Avg: 0.0137, Sum: 0.6828
Avg: 0.0136, Sum: 0.6821
Avg: 0.0136, Sum: 0.6815
Avg: 0.0136, Sum: 0.6821
